Name,Position,Height,Weight,Major,Team,School
Harrison Rodgers,INF,5' 11'',185 lb,International Studies,Duke Blue Devils,Duke University
Ben Weaver,OF,5' 11'',185 lb,Biology,Duke Blue Devils,Duke University
Josh Stinson,OF,6' 1'',186 lb,Criminal Justice,Georgia Bulldogs,University of Georgia
Dillon Carter,OF,6' 1'',222 lb,Public Health,Georgia Bulldogs,University of Georgia
Sebastian Murillo,INF,5' 11'',202 lb,Sports Management,Georgia Bulldogs,University of Georgia
Zach Harris,RHP,6' 1'',193 lb,Communications,Georgia Bulldogs,University of Georgia
Jarvis Evans,LHP,6' 4'',216 lb,Criminal Justice,Georgia Bulldogs,University of Georgia
Corey Collins,C/OF,6' 3'',236 lb,Information Systems,Georgia Bulldogs,University of Georgia
Clayton Chadwick,OF,5' 9'',206 lb,Engineering,Georgia Bulldogs,University of Georgia
Kolby Branch,INF,5' 11'',195 lb,Sports Management,Georgia Bulldogs,University of Georgia
John Marant,OF,6' 6'',228 lb,Sports Management,Georgia Bulldogs,University of Georgia
Henry Hunter,C,6' 2'',217 lb,Accounting,Georgia Bulldogs,University of Georgia
Leighton Finley,RHP,6' 5'',235 lb,Sociology,Georgia Bulldogs,University of Georgia
Fernando Gonzalez,C,5' 10'',199 lb,Public Health,Georgia Bulldogs,University of Georgia
Trey King,INF,6' 1'',190 lb,Health Sciences,Georgia Bulldogs,University of Georgia
Matthew Hoskins,RHP,6' 2'',229 lb,Kinesiology,Georgia Bulldogs,University of Georgia
Kolten Smith,RHP,6' 3'',210 lb,Kinesiology,Georgia Bulldogs,University of Georgia
Logan Jordan,OF/C,6' 3'',238 lb,Exercise Science,Georgia Bulldogs,University of Georgia
James Hays,RHP,6' 2'',228 lb,Accounting,Georgia Bulldogs,University of Georgia
Ethan Sutton,RHP,6' 3'',224 lb,Sports Management,Georgia Bulldogs,University of Georgia
Coleman Willis,RHP,6' 7'',216 lb,Marketing,Georgia Bulldogs,University of Georgia
Paul Toetz,INF,5' 11'',203 lb,Health Sciences,Georgia Bulldogs,University of Georgia
Charlie Condon,3B/OF,6' 6'',216 lb,Sociology,Georgia Bulldogs,University of Georgia
Dylan Goldstein,OF,6' 0'',210 lb,Finance,Georgia Bulldogs,University of Georgia
Brian Zeldin,RHP,5' 11'',196 lb,Accounting,Georgia Bulldogs,University of Georgia
Lukas Farris,OF/1B,6' 5'',227 lb,Accounting,Georgia Bulldogs,University of Georgia
Charlie Goldstein,LHP,6' 1'',200 lb,Criminal Justice,Georgia Bulldogs,University of Georgia
Brandt Pancer,RHP,6' 0'',205 lb,Marketing,Georgia Bulldogs,University of Georgia
Chandler Marsh,RHP,6' 4'',245 lb,Finance,Georgia Bulldogs,University of Georgia
Josh Roberge,RHP,6' 2'',218 lb,Accounting,Georgia Bulldogs,University of Georgia
Max DeJong,RHP,6' 1'',219 lb,Public Health,Georgia Bulldogs,University of Georgia
Tyler McLoughlin,RHP,6' 3'',229 lb,Computer Science,Georgia Bulldogs,University of Georgia
Paul Farley,RHP,6' 1'',201 lb,Public Health,Georgia Bulldogs,University of Georgia
Tre Phelps,INF,6' 2'',204 lb,Information Systems,Georgia Bulldogs,University of Georgia
DJ Radtke,RHP,6' 3'',191 lb,Marketing,Georgia Bulldogs,University of Georgia
Wyatt Land,RHP,6' 3'',191 lb,Engineering,Georgia Bulldogs,University of Georgia
Cooper Milford,OF,6' 0'',170 lb,Computer Science,Georgia Bulldogs,University of Georgia
Daniel Padysak,RHP,6' 5'',229 lb,Engineering,Georgia Bulldogs,University of Georgia
Luke Wiltrakis,RHP,6' 3'',219 lb,Public Health,Georgia Bulldogs,University of Georgia
Slate Alford,INF,6' 3'',236 lb,Communications,Georgia Bulldogs,University of Georgia
Christian Mracna,RHP,6' 5'',220 lb,Economics,Georgia Bulldogs,University of Georgia
Zach DeVito,RHP,6' 0'',190 lb,Computer Science,Georgia Bulldogs,University of Georgia
Collin Caldwell,LHP,5' 11'',203 lb,Exercise Science,Georgia Bulldogs,University of Georgia
Ryker Chavis,LHP,6' 2'',185 lb,Sociology,Georgia Bulldogs,University of Georgia
Josh Katz,C,5' 11'',173 lb,Sociology,Georgia Bulldogs,University of Georgia
Ryan Gold,LHP,6' 3'',200 lb,Sociology,Georgia Bulldogs,University of Georgia
Aiden Moffett,RHP,6'3'',221 lb,Communications,louisiana tech bulldogs,Louisiana Tech University
Gavin Guidry,RHP/INF,6'2'',178 lb,Economics,louisiana tech bulldogs,Louisiana Tech University
Steven Milam,INF,5'8'',172 lb,Finance,louisiana tech bulldogs,Louisiana Tech University
Ben Nippolt,INF,5'11'',180 lb,Public Health,louisiana tech bulldogs,Louisiana Tech University
Justin Loer,LHP,6'5'',214 lb,Finance,louisiana tech bulldogs,Louisiana Tech University
Alex Milazzo,C,5'11'',190 lb,Communications,louisiana tech bulldogs,Louisiana Tech University
Hayden Travinski,C/1B,6'3'',228 lb,Psychology,louisiana tech bulldogs,Louisiana Tech University
Mac Bingham,OF,5'11'',182 lb,Public Health,louisiana tech bulldogs,Louisiana Tech University
Michael Braswell III,INF,6'2'',204 lb,Sociology,louisiana tech bulldogs,Louisiana Tech University
Josh Pearson,INF,5'10'',190 lb,Psychology,louisiana tech bulldogs,Louisiana Tech University
Mic Paul,OF,5'10'',188 lb,Kinesiology,louisiana tech bulldogs,Louisiana Tech University
Nic Bronzini,LHP,6'3'',256 lb,Health Sciences,louisiana tech bulldogs,Louisiana Tech University
Brady Neal,C,5'10'',193 lb,Economics,louisiana tech bulldogs,Louisiana Tech University
Samuel Dutton,RHP,5'11'',200 lb,Public Health,louisiana tech bulldogs,Louisiana Tech University
Jake Brown,OF,6'2'',194 lb,Psychology,louisiana tech bulldogs,Louisiana Tech University
Ryan Kucherak,INF,6'1'',186 lb,Exercise Science,louisiana tech bulldogs,Louisiana Tech University
Jared Jones,1B/C,6'4'',253 lb,Information Systems,louisiana tech bulldogs,Louisiana Tech University
Gage Jump,LHP,6'0'',197 lb,Economics,louisiana tech bulldogs,Louisiana Tech University
Austen Roellig,INF,5'11'',185 lb,Marketing,louisiana tech bulldogs,Louisiana Tech University
Kade Woods,RHP,6'3'',217 lb,Information Systems,louisiana tech bulldogs,Louisiana Tech University
Thatcher Hurd,RHP,6'4'',230 lb,Information Systems,louisiana tech bulldogs,Louisiana Tech University
Jaden Noot,RHP,6'4'',225 lb,Engineering,louisiana tech bulldogs,Louisiana Tech University
Paxton Kling,OF,6'2'',203 lb,Criminal Justice,louisiana tech bulldogs,Louisiana Tech University
Micah Bucknam,RHP,6'2'',214 lb,Exercise Science,louisiana tech bulldogs,Louisiana Tech University
Nate Ackenhausen,LHP,6'2'',256 lb,Communications,louisiana tech bulldogs,Louisiana Tech University
Kade Anderson,LHP,6'2'',179 lb,Accounting,louisiana tech bulldogs,Louisiana Tech University
Ethan Frey,OF/1B/C,6'5'',229 lb,Health Sciences,louisiana tech bulldogs,Louisiana Tech University
Chase Shores,RHP,6'8'',245 lb,Computer Science,louisiana tech bulldogs,Louisiana Tech University
Griffin Herring,LHP,6'2'',196 lb,Business Administration,louisiana tech bulldogs,Louisiana Tech University
Luke Holman,RHP,6'4'',201 lb,Sports Management,louisiana tech bulldogs,Louisiana Tech University
Zeb Ruddell,OF,6'1'',187 lb,Computer Science,louisiana tech bulldogs,Louisiana Tech University
Fidel Ulloa,RHP,6'2'',205 lb,Engineering,louisiana tech bulldogs,Louisiana Tech University
DJ Primeaux,LHP,5'10'',195 lb,Psychology,louisiana tech bulldogs,Louisiana Tech University
Derrick Mitchell,OF,6'3'',203 lb,Exercise Science,louisiana tech bulldogs,Louisiana Tech University
Ashton Larson,OF,6'2'',194 lb,Accounting,louisiana tech bulldogs,Louisiana Tech University
Tommy White,3B,6'1'',228 lb,Exercise Science,louisiana tech bulldogs,Louisiana Tech University
Will Hellmers,RHP,6'4'',213 lb,Public Health,louisiana tech bulldogs,Louisiana Tech University
Javen Coleman,LHP,6'2'',200 lb,Sociology,louisiana tech bulldogs,Louisiana Tech University
Cam Johnson,LHP,6'5'',251 lb,Kinesiology,louisiana tech bulldogs,Louisiana Tech University
Christian Little,RHP,6'4'',235 lb,Engineering,louisiana tech bulldogs,Louisiana Tech University
Cam Schuelke,RHP,6' 1'',195 lb,Kinesiology,Missisippi State Bulldog,Mississippi State University
David Mershon,INF,5' 8'',175 lb,Finance,Missisippi State Bulldog,Mississippi State University
Mikhai Grant,RHP,6' 3'',215 lb,Marketing,Missisippi State Bulldog,Mississippi State University
Aaron Downs,INF/OF,6' 0'',210 lb,Sociology,Missisippi State Bulldog,Mississippi State University
Logan Forsythe,RHP,6' 0'',190 lb,Finance,Missisippi State Bulldog,Mississippi State University
Connor Hujsak,INF/OF,6' 2'',200 lb,Psychology,Missisippi State Bulldog,Mississippi State University
Amani Larry,INF,5' 11'',190 lb,Psychology,Missisippi State Bulldog,Mississippi State University
Pico Kohn,LHP,6' 4'',200 lb,Economics,Missisippi State Bulldog,Mississippi State University
Dylan Cupp,INF,6' 1'',200 lb,Marketing,Missisippi State Bulldog,Mississippi State University
KK Clark,RHP,6' 0'',195 lb,Economics,Missisippi State Bulldog,Mississippi State University
Evan Siary,RHP,6' 1'',205 lb,Communications,Missisippi State Bulldog,Mississippi State University
Nate Chester,INF,6' 2'',190 lb,Computer Science,Missisippi State Bulldog,Mississippi State University
Khal Stephen,RHP,6' 4'',215 lb,Sociology,Missisippi State Bulldog,Mississippi State University
Luke Dotson,INF/LHP,6' 4'',210 lb,Psychology,Missisippi State Bulldog,Mississippi State University
Cole Cheatham,LHP,6' 3'',200 lb,Marketing,Missisippi State Bulldog,Mississippi State University
Stone Simmons,RHP,6' 4'',235 lb,Health Sciences,Missisippi State Bulldog,Mississippi State University
Johnny Long,C,6' 0'',190 lb,Accounting,Missisippi State Bulldog,Mississippi State University
Max Miller,LHP,6' 1'',205 lb,Criminal Justice,Missisippi State Bulldog,Mississippi State University
Will Passeau,RHP,6' 2'',215 lb,Sports Management,Missisippi State Bulldog,Mississippi State University
Colby Holcombe,RHP,6' 6'',250 lb,Economics,Missisippi State Bulldog,Mississippi State University
Ross Highfill,C,6' 0'',200 lb,Engineering,Missisippi State Bulldog,Mississippi State University
Jackson Owen,C,5' 10'',200 lb,Computer Science,Missisippi State Bulldog,Mississippi State University
Jace Norton,INF,6' 5'',190 lb,Business Administration,Missisippi State Bulldog,Mississippi State University
Nate Dohm,RHP,6' 4'',210 lb,Economics,Missisippi State Bulldog,Mississippi State University
Tyson Hardin,RHP,6' 2'',185 lb,Health Sciences,Missisippi State Bulldog,Mississippi State University
Gavin Black,RHP,6' 0'',195 lb,Communications,Missisippi State Bulldog,Mississippi State University
Gage Haley,RHP,6' 7'',265 lb,Engineering,Missisippi State Bulldog,Mississippi State University
Bradley Loftin,LHP,6' 3'',197 lb,Sociology,Missisippi State Bulldog,Mississippi State University
Karson Ligon,RHP,6' 1'',210 lb,Sports Management,Missisippi State Bulldog,Mississippi State University
Michael O'Brien,OF,6' 0'',185 lb,Communications,Missisippi State Bulldog,Mississippi State University
Rives Reynolds,OF,6' 0'',175 lb,Kinesiology,Missisippi State Bulldog,Mississippi State University
Nolan Stevens,INF/OF/LHP,6' 4'',210 lb,Information Systems,Missisippi State Bulldog,Mississippi State University
Brett House,INF/OF,6' 3'',200 lb,Engineering,Missisippi State Bulldog,Mississippi State University
Bryce Chance,OF,5' 10'',180 lb,Business Administration,Missisippi State Bulldog,Mississippi State University
Logan Kohler,INF,6' 1'',195 lb,Business Administration,Missisippi State Bulldog,Mississippi State University
Ethan Pulliam,INF/OF,6' 2'',190 lb,Finance,Missisippi State Bulldog,Mississippi State University
Dakota Jordan,OF,6' 0'',220 lb,Psychology,Missisippi State Bulldog,Mississippi State University
Steven Spalitta,INF/C,6' 0'',185 lb,Finance,Missisippi State Bulldog,Mississippi State University
Hunter Hines,INF/OF,6' 3'',210 lb,Information Systems,Missisippi State Bulldog,Mississippi State University
Tyler Davis,LHP,6' 2'',210 lb,Engineering,Missisippi State Bulldog,Mississippi State University
Jackson McKenzie,INF/OF/LHP,6' 2'',215 lb,Information Systems,Missisippi State Bulldog,Mississippi State University
Brooks Auger,RHP,6' 5'',215 lb,Kinesiology,Missisippi State Bulldog,Mississippi State University
Jurrangelo Cijntje,BHP,5' 11'',200 lb,Communications,Missisippi State Bulldog,Mississippi State University
Joe Powell,C,5' 10'',185 lb,Communications,Missisippi State Bulldog,Mississippi State University
Will Gibbs,RHP,6' 0'',180 lb,Exercise Science,Missisippi State Bulldog,Mississippi State University
Alex Madera,INF,5' 10'',175 lb,Exercise and Sport Science,North Caroline Tar Heels,University of North Carolina
Reece Holbrook,OF,5' 11'',175 lb,Communication Studies,North Caroline Tar Heels,University of North Carolina
Colby Wilkerson,INF,5' 10'',180 lb,Business Administration,North Caroline Tar Heels,University of North Carolina
Anthony Donofrio,OF,6' 3'',195 lb,Biology,North Caroline Tar Heels,University of North Carolina
Gavin Gallaher,INF,6' 1'',185 lb,Psychology,North Caroline Tar Heels,University of North Carolina
Jackson Van De Brake,INF,6' 1'',195 lb,Marketing,North Caroline Tar Heels,University of North Carolina
Vance Honeycutt,OF,6' 3'',205 lb,Finance,North Caroline Tar Heels,University of North Carolina
Patrick Alvarez,INF/OF,5' 7'',165 lb,Accounting,North Caroline Tar Heels,University of North Carolina
Eliot Dix,INF,5' 10'',195 lb,Sports Administration,North Caroline Tar Heels,University of North Carolina
Ryker Galaska,INF/OF,6' 1'',195 lb,Public Health,North Caroline Tar Heels,University of North Carolina
Parks Harber,INF,6' 3'',225 lb,Economics,North Caroline Tar Heels,University of North Carolina
Cameron Padgett,RHP,6' 3'',185 lb,History,North Caroline Tar Heels,University of North Carolina
Casey Cook,OF,6' 0'',195 lb,Exercise and Sport Science,North Caroline Tar Heels,University of North Carolina
Boston Flannery,RHP,6' 4'',220 lb,Communication Studies,North Caroline Tar Heels,University of North Carolina
Carter French,OF,6' 2'',185 lb,Business Administration,North Caroline Tar Heels,University of North Carolina
Johnny Castagnozzi,INF,6' 2'',205 lb,Biology,North Caroline Tar Heels,University of North Carolina
Kaleb Cost,OF,5' 10'',190 lb,Psychology,North Caroline Tar Heels,University of North Carolina
Alberto Osuna,1B/DH,6' 1'',245 lb,Marketing,North Caroline Tar Heels,University of North Carolina
Matthew Matthijs,RHP,6' 2'',225 lb,Finance,North Caroline Tar Heels,University of North Carolina
Ben Peterson,RHP,6' 3'',217 lb,Accounting,North Caroline Tar Heels,University of North Carolina
Kyle Percival,LHP,6' 5'',225 lb,Sports Administration,North Caroline Tar Heels,University of North Carolina
Connor Bovair,RHP,6' 1'',210 lb,Public Health,North Caroline Tar Heels,University of North Carolina
Shea Sprague,LHP,6' 3'',195 lb,Economics,North Caroline Tar Heels,University of North Carolina
Jason DeCaro,RHP,6' 5'',225 lb,History,North Caroline Tar Heels,University of North Carolina
Olin Johnson,RHP,6' 6'',220 lb,Exercise and Sport Science,North Caroline Tar Heels,University of North Carolina
Francesco Capocci,RHP,6' 4'',205 lb,Communication Studies,North Caroline Tar Heels,University of North Carolina
Folger Boaz,LHP,6' 2'',190 lb,Business Administration,North Caroline Tar Heels,University of North Carolina
Matt Poston,RHP,6' 4'',235 lb,Biology,North Caroline Tar Heels,University of North Carolina
Harrison Lewis,RHP,6' 6'',265 lb,Psychology,North Caroline Tar Heels,University of North Carolina
Jacob Kirby,RHP,6' 5'',190 lb,Marketing,North Caroline Tar Heels,University of North Carolina
Jake Knapp,RHP,6' 5'',255 lb,Finance,North Caroline Tar Heels,University of North Carolina
Tyler Parks,INF,5' 9'',165 lb,Accounting,North Caroline Tar Heels,University of North Carolina
Luke Stevenson,C,6' 1'',200 lb,Sports Administration,North Caroline Tar Heels,University of North Carolina
Hunter Stokely,1B,6' 3'',240 lb,Public Health,North Caroline Tar Heels,University of North Carolina
Will Simmons,RHP,6' 2'',190 lb,Economics,North Caroline Tar Heels,University of North Carolina
Aidan Haugh,RHP,6' 6'',210 lb,History,North Caroline Tar Heels,University of North Carolina
Dalton Pence,LHP,6' 2'',215 lb,Exercise and Sport Science,North Caroline Tar Heels,University of North Carolina
Hugh Collins,LHP,6' 1'',185 lb,Communication Studies,North Caroline Tar Heels,University of North Carolina
Ryan Fischer,RHP,6' 2'',225 lb,Business Administration,North Caroline Tar Heels,University of North Carolina
Parker Haskin,C,5' 9'',185 lb,Biology,North Caroline Tar Heels,University of North Carolina
Mason Yokum,LHP,6' 3'',180 lb,Psychology,North Caroline Tar Heels,University of North Carolina
Luke Osteen,RHP,6' 1'',185 lb,Marketing,North Caroline Tar Heels,University of North Carolina
Ryan Hench,RHP,6' 2'',185 lb,Finance,North Caroline Tar Heels,University of North Carolina
Zach Freeman,OF,6' 0'',190 lb,Public Health,Ohio State Buckeyes,Ohio State University
Joseph Mershon,INF,5' 8'',175 lb,Sociology,Ohio State Buckeyes,Ohio State University
Josh Stevenson,OF,6' 1'',195 lb,Sociology,Ohio State Buckeyes,Ohio State University
Justin Eckhardt,RHP,6' 2'',205 lb,Information Systems,Ohio State Buckeyes,Ohio State University
CJ Richard,OF,5' 8'',165 lb,Public Health,Ohio State Buckeyes,Ohio State University
Henry Kaczmar,INF,5' 10'',185 lb,Criminal Justice,Ohio State Buckeyes,Ohio State University
Nick Giamarusti,OF,6' 0'',195 lb,Engineering,Ohio State Buckeyes,Ohio State University
Isaac Cadena,OF/C,5' 9'',191 lb,Business Administration,Ohio State Buckeyes,Ohio State University
Matthew Graveline,C,6' 1'',190 lb,Public Health,Ohio State Buckeyes,Ohio State University
Gavin Bruni,LHP,6' 3'',205 lb,Criminal Justice,Ohio State Buckeyes,Ohio State University
Gavin DeVooght,RHP,6' 5'',238 lb,Economics,Ohio State Buckeyes,Ohio State University
Ryan Miller,UTL,6' 3'',200 lb,Psychology,Ohio State Buckeyes,Ohio State University
Andrew Edrington,RHP,6' 2'',170 lb,Finance,Ohio State Buckeyes,Ohio State University
Mason Eckelman,C,6' 1'',215 lb,Computer Science,Ohio State Buckeyes,Ohio State University
Nolan Farley,INF,6' 3'',170 lb,Information Systems,Ohio State Buckeyes,Ohio State University
Tim Baird,RHP,6' 2'',198 lb,Criminal Justice,Ohio State Buckeyes,Ohio State University
Christian Pownall,LHP,6' 0'',187 lb,Kinesiology,Ohio State Buckeyes,Ohio State University
Logan Jones,RHP,6' 4'',205 lb,Information Systems,Ohio State Buckeyes,Ohio State University
Mitchell Okuley,OF,6' 2'',205 lb,Communications,Ohio State Buckeyes,Ohio State University
Trey Lipsey,OF,6' 2'',190 lb,Engineering,Ohio State Buckeyes,Ohio State University
Colin Purcell,RHP,6' 5'',200 lb,Psychology,Ohio State Buckeyes,Ohio State University
Clay Burdette,1B,6' 2'',215 lb,Information Systems,Ohio State Buckeyes,Ohio State University
Jacob Morin,RHP,5' 10'',140 lb,Health Sciences,Ohio State Buckeyes,Ohio State University
Hunter Rosson,UTL,5' 10'',184 lb,Public Health,Ohio State Buckeyes,Ohio State University
Chase Herrell,RHP,6' 2'',195 lb,Engineering,Ohio State Buckeyes,Ohio State University
Landon Beidelschies,LHP,6' 3'',225 lb,Kinesiology,Ohio State Buckeyes,Ohio State University
Zach Brown,RHP,6' 5'',210 lb,Public Health,Ohio State Buckeyes,Ohio State University
Noah Williamson,RHP,5' 11'',205 lb,Sports Management,Ohio State Buckeyes,Ohio State University
Max Palinski,OF,6' 1'',210 lb,Psychology,Ohio State Buckeyes,Ohio State University
Jaylen Jones,LHP,6' 1'',210 lb,Engineering,Ohio State Buckeyes,Ohio State University
Tyler Pettorini,INF,6' 0'',180 lb,Business Administration,Ohio State Buckeyes,Ohio State University
Hunter Shaw,LHP,6' 4'',190 lb,Kinesiology,Ohio State Buckeyes,Ohio State University
Alonzo Paul Jr.,C,5' 8'',172 lb,Criminal Justice,Ohio State Buckeyes,Ohio State University
Will Carpenter,INF,6' 1'',210 lb,Accounting,Ohio State Buckeyes,Ohio State University
Zach Fjelstad,INF,5' 11'',180 lb,Exercise Science,Ohio State Buckeyes,Ohio State University
Zak Sigman,RHP,5' 10'',175 lb,Exercise Science,Ohio State Buckeyes,Ohio State University
Isaiah Leeth,RHP,6' 1'',200 lb,Criminal Justice,Ohio State Buckeyes,Ohio State University
Will Henson,INF,6' 2'',180 lb,Information Systems,Ohio State Buckeyes,Ohio State University
Ben Schechterman,LHP,6' 0'',195 lb,Psychology,Ohio State Buckeyes,Ohio State University
Blaine Wynk,RHP,6' 3'',196 lb,Accounting,Ohio State Buckeyes,Ohio State University
Jake Michalak,RHP,6' 3'',197 lb,Psychology,Ohio State Buckeyes,Ohio State University
